link_booking,name_booking,precio_booking,rating_booking,review_booking
www.airbnb.com.pe/rooms/21711501?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-30&check_out=2024-12-05&source_impression_id=p3_1730060208_P3zRdKVhpP5G_FTV&previous_page_section_name=1000,"Sencillo, moderno y cerca de la playa",302,4.77,1236
www.airbnb.com.pe/rooms/1218645303173234166?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1971156620&search_mode=regular_search&check_in=2025-01-07&check_out=2025-01-12&source_impression_id=p3_1730060212_P3XyRTVOwoL9NCjh&previous_page_section_name=1000,Habitación Individual,162,4.93,15
www.airbnb.com.pe/rooms/27127886?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1198245423&search_mode=regular_search&check_in=2025-01-14&check_out=2025-01-19&source_impression_id=p3_1730060216_P3owIdlz0omZD4KK&previous_page_section_name=1000,Cómoda y luminosa. Muy cerca Campo del Barça WIFI,146,4.92,284
www.airbnb.com.pe/rooms/1221751561372481946?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1973735631&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730060219_P3rZMXTy4U2Di9ej&previous_page_section_name=1000,Habitacion individual,124,4.72,18
www.airbnb.com.pe/rooms/41822352?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1877977358&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730060223_P3nbavhwtYRxtGWS&previous_page_section_name=1000,Balcón privado para 2 personas cerca de la Sagrada Familia,374,4.91,23
www.airbnb.com.pe/rooms/583987826544046548?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2014996220&search_mode=regular_search&check_in=2025-01-02&check_out=2025-01-07&source_impression_id=p3_1730060227_P378Ihulu14ppf5l&previous_page_section_name=1000,Precioso apartamento  cerca  ala estación de sants,101,4.6,189
www.airbnb.com.pe/rooms/982574005765784708?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-23&check_out=2024-11-28&source_impression_id=p3_1730060230_P3WlDBWTDDg1pILg&previous_page_section_name=1000,Bienvenido Apart. Bergueda Street,271,5.0,7
www.airbnb.com.pe/rooms/6833040?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=680690576&search_mode=regular_search&check_in=2024-12-11&check_out=2024-12-16&source_impression_id=p3_1730060234_P3fevyNcZmUmYiqY&previous_page_section_name=1000,Habitación Privada cerca del Estadio Camp Nou,130,4.52,292
www.airbnb.com.pe/rooms/15593934?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1756964401&search_mode=regular_search&check_in=2025-01-10&check_out=2025-01-15&source_impression_id=p3_1730060238_P3dAXlcQoeh5LZ2v&previous_page_section_name=1000,Bonita habitación barata y céntrica de 31 días en Barcelona,163,4.81,502
www.airbnb.com.pe/rooms/1202828460995202150?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-08&check_out=2024-12-13&source_impression_id=p3_1730060242_P3eVAr_bC4WM0en4&previous_page_section_name=1000,Palacio de la Música 9,645,4.75,4
